Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR22213123	Infant gut metagenome	Illumina MiSeq	8249	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213123/SRR22213123.sra	SRR22213123.sra	SRR22213123_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/023/SRR22213123/SRR22213123_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/023/SRR22213123/SRR22213123_1.fastq.gz	SRR22213123_1.fastq.gz	SRR22213123_Infant_gut_metagenome_1.fastq.gz
SRR22213123	Infant gut metagenome	Illumina MiSeq	8249	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213123/SRR22213123.sra	SRR22213123.sra	SRR22213123_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/023/SRR22213123/SRR22213123_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/023/SRR22213123/SRR22213123_2.fastq.gz	SRR22213123_2.fastq.gz	SRR22213123_Infant_gut_metagenome_2.fastq.gz
SRR22213122	Infant gut metagenome	Illumina MiSeq	8051	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213122/SRR22213122.sra	SRR22213122.sra	SRR22213122_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/022/SRR22213122/SRR22213122_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/022/SRR22213122/SRR22213122_1.fastq.gz	SRR22213122_1.fastq.gz	SRR22213122_Infant_gut_metagenome_1.fastq.gz
SRR22213122	Infant gut metagenome	Illumina MiSeq	8051	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213122/SRR22213122.sra	SRR22213122.sra	SRR22213122_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/022/SRR22213122/SRR22213122_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/022/SRR22213122/SRR22213122_2.fastq.gz	SRR22213122_2.fastq.gz	SRR22213122_Infant_gut_metagenome_2.fastq.gz
SRR22213119	Infant gut metagenome	Illumina MiSeq	7117	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213119/SRR22213119.sra	SRR22213119.sra	SRR22213119_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/019/SRR22213119/SRR22213119_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/019/SRR22213119/SRR22213119_1.fastq.gz	SRR22213119_1.fastq.gz	SRR22213119_Infant_gut_metagenome_1.fastq.gz
SRR22213119	Infant gut metagenome	Illumina MiSeq	7117	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213119/SRR22213119.sra	SRR22213119.sra	SRR22213119_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/019/SRR22213119/SRR22213119_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/019/SRR22213119/SRR22213119_2.fastq.gz	SRR22213119_2.fastq.gz	SRR22213119_Infant_gut_metagenome_2.fastq.gz
SRR22213117	Infant gut metagenome	Illumina MiSeq	9211	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213117/SRR22213117.sra	SRR22213117.sra	SRR22213117_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/017/SRR22213117/SRR22213117_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/017/SRR22213117/SRR22213117_1.fastq.gz	SRR22213117_1.fastq.gz	SRR22213117_Infant_gut_metagenome_1.fastq.gz
SRR22213117	Infant gut metagenome	Illumina MiSeq	9211	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213117/SRR22213117.sra	SRR22213117.sra	SRR22213117_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/017/SRR22213117/SRR22213117_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/017/SRR22213117/SRR22213117_2.fastq.gz	SRR22213117_2.fastq.gz	SRR22213117_Infant_gut_metagenome_2.fastq.gz
SRR22213116	Infant gut metagenome	Illumina MiSeq	10279	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213116/SRR22213116.sra	SRR22213116.sra	SRR22213116_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/016/SRR22213116/SRR22213116_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/016/SRR22213116/SRR22213116_1.fastq.gz	SRR22213116_1.fastq.gz	SRR22213116_Infant_gut_metagenome_1.fastq.gz
SRR22213116	Infant gut metagenome	Illumina MiSeq	10279	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213116/SRR22213116.sra	SRR22213116.sra	SRR22213116_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/016/SRR22213116/SRR22213116_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/016/SRR22213116/SRR22213116_2.fastq.gz	SRR22213116_2.fastq.gz	SRR22213116_Infant_gut_metagenome_2.fastq.gz
SRR22213114	Infant gut metagenome	Illumina MiSeq	104781	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213114/SRR22213114.sra	SRR22213114.sra	SRR22213114_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/014/SRR22213114/SRR22213114_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/014/SRR22213114/SRR22213114_1.fastq.gz	SRR22213114_1.fastq.gz	SRR22213114_Infant_gut_metagenome_1.fastq.gz
SRR22213114	Infant gut metagenome	Illumina MiSeq	104781	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213114/SRR22213114.sra	SRR22213114.sra	SRR22213114_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/014/SRR22213114/SRR22213114_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/014/SRR22213114/SRR22213114_2.fastq.gz	SRR22213114_2.fastq.gz	SRR22213114_Infant_gut_metagenome_2.fastq.gz
SRR22213109	Infant gut metagenome	Illumina MiSeq	11125	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213109/SRR22213109.sra	SRR22213109.sra	SRR22213109_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/009/SRR22213109/SRR22213109_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/009/SRR22213109/SRR22213109_1.fastq.gz	SRR22213109_1.fastq.gz	SRR22213109_Infant_gut_metagenome_1.fastq.gz
SRR22213109	Infant gut metagenome	Illumina MiSeq	11125	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213109/SRR22213109.sra	SRR22213109.sra	SRR22213109_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/009/SRR22213109/SRR22213109_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/009/SRR22213109/SRR22213109_2.fastq.gz	SRR22213109_2.fastq.gz	SRR22213109_Infant_gut_metagenome_2.fastq.gz
SRR22213110	Infant gut metagenome	Illumina MiSeq	9973	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213110/SRR22213110.sra	SRR22213110.sra	SRR22213110_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/010/SRR22213110/SRR22213110_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/010/SRR22213110/SRR22213110_1.fastq.gz	SRR22213110_1.fastq.gz	SRR22213110_Infant_gut_metagenome_1.fastq.gz
SRR22213110	Infant gut metagenome	Illumina MiSeq	9973	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213110/SRR22213110.sra	SRR22213110.sra	SRR22213110_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/010/SRR22213110/SRR22213110_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/010/SRR22213110/SRR22213110_2.fastq.gz	SRR22213110_2.fastq.gz	SRR22213110_Infant_gut_metagenome_2.fastq.gz
SRR22213108	Infant gut metagenome	Illumina MiSeq	111994	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213108/SRR22213108.sra	SRR22213108.sra	SRR22213108_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/008/SRR22213108/SRR22213108_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/008/SRR22213108/SRR22213108_1.fastq.gz	SRR22213108_1.fastq.gz	SRR22213108_Infant_gut_metagenome_1.fastq.gz
SRR22213108	Infant gut metagenome	Illumina MiSeq	111994	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213108/SRR22213108.sra	SRR22213108.sra	SRR22213108_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/008/SRR22213108/SRR22213108_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/008/SRR22213108/SRR22213108_2.fastq.gz	SRR22213108_2.fastq.gz	SRR22213108_Infant_gut_metagenome_2.fastq.gz
SRR22213107	Infant gut metagenome	Illumina MiSeq	7311	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213107/SRR22213107.sra	SRR22213107.sra	SRR22213107_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/007/SRR22213107/SRR22213107_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/007/SRR22213107/SRR22213107_1.fastq.gz	SRR22213107_1.fastq.gz	SRR22213107_Infant_gut_metagenome_1.fastq.gz
SRR22213107	Infant gut metagenome	Illumina MiSeq	7311	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213107/SRR22213107.sra	SRR22213107.sra	SRR22213107_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/007/SRR22213107/SRR22213107_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/007/SRR22213107/SRR22213107_2.fastq.gz	SRR22213107_2.fastq.gz	SRR22213107_Infant_gut_metagenome_2.fastq.gz
SRR22213103	Infant gut metagenome	Illumina MiSeq	4415	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213103/SRR22213103.sra	SRR22213103.sra	SRR22213103_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/003/SRR22213103/SRR22213103_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/003/SRR22213103/SRR22213103_1.fastq.gz	SRR22213103_1.fastq.gz	SRR22213103_Infant_gut_metagenome_1.fastq.gz
SRR22213103	Infant gut metagenome	Illumina MiSeq	4415	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213103/SRR22213103.sra	SRR22213103.sra	SRR22213103_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/003/SRR22213103/SRR22213103_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/003/SRR22213103/SRR22213103_2.fastq.gz	SRR22213103_2.fastq.gz	SRR22213103_Infant_gut_metagenome_2.fastq.gz
SRR22213105	Infant gut metagenome	Illumina MiSeq	6643	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213105/SRR22213105.sra	SRR22213105.sra	SRR22213105_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/005/SRR22213105/SRR22213105_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/005/SRR22213105/SRR22213105_1.fastq.gz	SRR22213105_1.fastq.gz	SRR22213105_Infant_gut_metagenome_1.fastq.gz
SRR22213105	Infant gut metagenome	Illumina MiSeq	6643	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213105/SRR22213105.sra	SRR22213105.sra	SRR22213105_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/005/SRR22213105/SRR22213105_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/005/SRR22213105/SRR22213105_2.fastq.gz	SRR22213105_2.fastq.gz	SRR22213105_Infant_gut_metagenome_2.fastq.gz
SRR22213101	Infant gut metagenome	Illumina MiSeq	6963	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213101/SRR22213101.sra	SRR22213101.sra	SRR22213101_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/001/SRR22213101/SRR22213101_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/001/SRR22213101/SRR22213101_1.fastq.gz	SRR22213101_1.fastq.gz	SRR22213101_Infant_gut_metagenome_1.fastq.gz
SRR22213101	Infant gut metagenome	Illumina MiSeq	6963	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213101/SRR22213101.sra	SRR22213101.sra	SRR22213101_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/001/SRR22213101/SRR22213101_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/001/SRR22213101/SRR22213101_2.fastq.gz	SRR22213101_2.fastq.gz	SRR22213101_Infant_gut_metagenome_2.fastq.gz
SRR22213104	Infant gut metagenome	Illumina MiSeq	7308	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213104/SRR22213104.sra	SRR22213104.sra	SRR22213104_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/004/SRR22213104/SRR22213104_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/004/SRR22213104/SRR22213104_1.fastq.gz	SRR22213104_1.fastq.gz	SRR22213104_Infant_gut_metagenome_1.fastq.gz
SRR22213104	Infant gut metagenome	Illumina MiSeq	7308	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213104/SRR22213104.sra	SRR22213104.sra	SRR22213104_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/004/SRR22213104/SRR22213104_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/004/SRR22213104/SRR22213104_2.fastq.gz	SRR22213104_2.fastq.gz	SRR22213104_Infant_gut_metagenome_2.fastq.gz
SRR22213098	Infant gut metagenome	Illumina MiSeq	7369	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213098/SRR22213098.sra	SRR22213098.sra	SRR22213098_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/098/SRR22213098/SRR22213098_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/098/SRR22213098/SRR22213098_1.fastq.gz	SRR22213098_1.fastq.gz	SRR22213098_Infant_gut_metagenome_1.fastq.gz
SRR22213098	Infant gut metagenome	Illumina MiSeq	7369	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213098/SRR22213098.sra	SRR22213098.sra	SRR22213098_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/098/SRR22213098/SRR22213098_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/098/SRR22213098/SRR22213098_2.fastq.gz	SRR22213098_2.fastq.gz	SRR22213098_Infant_gut_metagenome_2.fastq.gz
SRR22213094	Infant gut metagenome	Illumina MiSeq	115425	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213094/SRR22213094.sra	SRR22213094.sra	SRR22213094_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/094/SRR22213094/SRR22213094_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/094/SRR22213094/SRR22213094_1.fastq.gz	SRR22213094_1.fastq.gz	SRR22213094_Infant_gut_metagenome_1.fastq.gz
SRR22213094	Infant gut metagenome	Illumina MiSeq	115425	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213094/SRR22213094.sra	SRR22213094.sra	SRR22213094_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/094/SRR22213094/SRR22213094_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/094/SRR22213094/SRR22213094_2.fastq.gz	SRR22213094_2.fastq.gz	SRR22213094_Infant_gut_metagenome_2.fastq.gz
SRR22213099	Infant gut metagenome	Illumina MiSeq	117534	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213099/SRR22213099.sra	SRR22213099.sra	SRR22213099_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/099/SRR22213099/SRR22213099_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/099/SRR22213099/SRR22213099_1.fastq.gz	SRR22213099_1.fastq.gz	SRR22213099_Infant_gut_metagenome_1.fastq.gz
SRR22213099	Infant gut metagenome	Illumina MiSeq	117534	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213099/SRR22213099.sra	SRR22213099.sra	SRR22213099_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/099/SRR22213099/SRR22213099_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/099/SRR22213099/SRR22213099_2.fastq.gz	SRR22213099_2.fastq.gz	SRR22213099_Infant_gut_metagenome_2.fastq.gz
SRR22213096	Infant gut metagenome	Illumina MiSeq	13421	1.68359E+12	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR22213096/SRR22213096.sra	SRR22213096.sra	SRR22213096_Infant_gut_metagenome.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/096/SRR22213096/SRR22213096_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR222/096/SRR22213096/SRR22213096_1.fastq.gz	SRR22213096_1.fastq.gz	SRR22213096_Infant_gut_metagenome_1.fastq.gz
