# Pathway	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	59.3071	0	0	0	0	0	120.17	0	90.4369	0	0	13.2655	0	0	14.2647	0	0	80.8612	0	0	0	0	0	0	0	0	0	3.88261	0	0	0	0	0	0	4.64102	19.3721	0	0	0	0	0	0	0	0	0	0	44.0354	2.00847	174.84	0	16.7049	0	17.1025	0	0	0	35.7984	0	0	0	31.8802	0	0	0	0	0	0	0	0	0	0	0	0	1.4566	0	0	23.3839	1.62287	0	0	0	0	0	0	59.6541	0	0	0	0	0	0	34.7601	0	0	8.56109	99.9405	0	0	0	39.5785	0	0	0	0	0	0	0	0	0	0	0	198.796	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	164.906	57.5735	47.0933	42.1201	79.463	27.0408	22.7272	110.251	291.643	347.802	180.043	260.911	193.302	280.419	258.949	106.169	320.553	232.042	189.891	7.14259	186.822	307.409	199.199	297.187	332.863	84.7271	342.35	117.653	0	225.098	216.072	0	0	75.9743	263.844	0	230.086	254.305	242.052	227.446	0	17.167	60.5747	53.3988	0	259.404	133.22	56.6638	100.561	266.779	257.758	255.041	0	218.694	199.336	34.8664	42.5539	260.347	95.8267	122.897	61.3898	37.2119	244.108	32.5986	321.535	8.66708	0	225.404	14.1432	399.83	331.982	302.842	258.909	255.726	38.7475	56.1118	321.586	252.046	0	69.4039	279.176	0	223.32	83.5209	276.097	234.807	56.8347	18.3664	307.294	286.897	61.2784	56.3346	0	309	132.554	229.158	179.317	89.7121	142.434	7.34168	10.0989	256.14	106.703	68.1162	91.0095	121.837	49.5016	0	306.084	199.016	0	0	257.908	0	55.5519	125.636
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	447.768	381.365	580.883	293.305	375.662	390.433	270.276	329.77	407.733	422.694	606.278	437.721	642.562	314.979	314.983	477.817	415.153	291.071	241.565	777.552	278.424	683.625	380.229	404.321	386.579	32.1263	452.891	347.883	333.226	277.673	308.983	144.704	371.387	486.383	311.363	271.034	317.425	374.732	270.184	271.956	428.071	618.283	226.548	205.406	390.928	246.292	358.07	518.105	438.2	202.093	343.176	312.816	1244.65	306.655	436.76	661.424	298.867	173.756	274.417	527.176	289.901	276.372	237.818	358.129	288.187	820.304	462.969	409.522	557.258	376.838	485.198	282.021	390.996	423.773	693.777	612.892	392.52	463.994	1083.22	459.526	396.55	968.438	348.575	549.48	1151.91	384.463	668.373	387.602	378.956	505.915	289.278	252.227	454.852	360.566	506.848	381.611	435.358	290.132	396.125	233.506	287.945	335.397	493.541	526.133	343.853	378.226	235.909	1151.94	404.103	332.014	398.402	374.8	336.23	425.554	276.692	519.885
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	444.447	388.998	561.271	283.037	360.395	368.257	255.185	302.147	414.182	438.201	586.454	421.085	590.237	289.246	249.457	461.98	433.67	239.017	179.149	607.873	247.237	648.969	376.339	381.551	384.79	35.6743	469.118	357.436	343.277	256.173	303.117	133.222	297.426	457.85	270.845	157.625	299.665	383.224	216.869	266.044	410.054	625.107	230.078	201.563	376.726	261.959	369.13	449.244	438.346	164.048	335.803	331.947	1256.24	275.621	416.799	787.394	284.55	185.447	276.433	605.105	281.182	269.567	222.541	352.598	315.76	817.562	339.461	423.563	549.511	389.951	483.34	269.218	414.969	424.676	706.359	632.894	382.134	439.445	1091.62	409.3	399.642	959.121	345.364	520.947	1201.87	386.28	663.878	386.357	392.107	520.623	305.209	248.878	494.41	365.855	514.985	435.52	437.081	302.974	404.203	221.207	288.985	328.761	497.082	507.749	328.3	387.539	237.488	1173.45	401.53	338.106	401.333	382.127	335.403	402.869	302.069	496.945
ARO-PWY: chorismate biosynthesis I	444.89	352.963	714.591	284.815	397.079	461.2	390.063	447.448	315.75	376.88	591.016	366.884	563.479	430.714	379.448	601.623	401.011	372.84	334.795	792.531	318.416	577.287	437.631	331.323	348.307	636.51	344.344	400.278	372.371	360.242	443.394	418.932	336.958	576.204	287.963	665.624	381.89	323.954	278.881	406.671	524.313	637.712	334.04	259.722	507.358	336.534	365.244	657.608	266.349	324.116	449.787	363.187	440.278	365.456	355.473	547.844	391.803	459.327	369.915	457.347	353.34	368.722	363.862	475.388	497.397	742.698	586.409	523.76	721.981	423.003	411.052	423.715	413.626	600.241	631.417	628.918	522.523	468.011	426.278	573.979	571.333	490.57	447.208	558.244	496.156	484.069	625.683	495.146	296.529	397.961	349.195	381.938	439.366	469.128	463.018	383.936	512.182	336.467	361.232	358.032	415.317	326.829	504.82	567.625	449.731	389.852	276.796	426.421	359.378	402.068	455.037	453.832	353.473	500.863	400.583	539.781
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	246.291	432.21	27.5498	318.995	204.708	167.67	225.35	211.376	346.714	560.49	106.358	473.957	86.8318	333.502	485.152	232.378	401.232	418.545	488.478	138.439	420.255	278.105	225.379	290.165	463.319	0	411.699	253.04	417.565	474.665	333.242	153.682	327.675	104.369	384.347	519.619	308.141	411.955	458.374	325.3	239.946	189.193	364.26	322.57	237.345	507.081	237.496	77.6235	0	379.397	282.48	484.763	0	463.657	334.657	126.924	339.724	0	410.913	195.951	372.459	374.789	277.133	166.166	115.814	34.0842	269.56	303.456	13.7292	678.854	367.004	378.827	369.671	285.163	232.084	231.378	343.858	117.394	4.35194	239.782	145.324	103.04	321.453	111.889	274.649	204.5	186.689	287.45	454.258	203.616	461.924	335.257	0	330.712	226.297	821.12	244.095	352.208	478.613	229.169	379.074	270.629	289.698	126.976	189.774	246.637	342.272	0	380.249	377.193	535.269	503.51	362.249	0	574.91	131.855
AST-PWY: L-arginine degradation II (AST pathway)	40.5741	148.013	0	84.2162	39.3872	29.5727	77.9943	0	126.644	162.79	0	145.617	0	34.1942	138.072	0	157.177	98.0073	91.4125	2.40438	83.753	0	15.011	139.184	163.599	0	175.055	167.15	176.987	128.956	3.21732	0	130.964	7.80533	134.827	0	29.3244	124.581	114.864	3.37626	25.2154	4.34974	121.519	120.466	30.6749	101.042	47.7101	0	0	31.2006	0.982705	149.379	0	149.949	0	18.1353	89.045	0	190.988	48.0936	198.291	241.74	4.04509	19.5516	0	0	0	2.51089	0	207.051	89.6636	1.91994	107.151	0.548298	0	0	4.0274	0	0	24.6156	2.33837	0	7.31859	2.26995	0	0.542473	0.980995	51.6535	148.478	0	164.109	189.53	460.809	9.18271	34.3308	421.775	0	158.284	227.093	71.1936	294.874	64.8898	69.6788	18.0546	0	38.0298	95.1963	0	156.505	198.21	0	0	119.61	0	177.583	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	133.81	236.138	0	236.537	127.697	83.3907	115.712	78.4206	284.59	320.278	0	268.479	31.4409	207.727	315.942	0	286.017	249.008	208.388	33.743	265.792	0	205.539	277.932	319.094	0	292.958	234.019	423.374	314.165	137.21	0	297.486	45.4412	309.002	386.738	255.391	257.949	394.972	137.565	129.064	43.7388	291.13	271.728	113.842	244.806	178.14	0	0	195.704	181.694	330.256	0	313.52	33.9234	127.228	206.263	0	242.719	239.122	279.718	277.654	104.071	40.9769	0	0	383.805	162.729	0	401.711	203.772	94.5103	321.478	59.3813	0	0	230.064	52.5575	0	144.246	136.428	0	229.449	13.9018	0	96.1864	93.9297	108.783	301.794	0	229.428	290.106	0	316.597	161.637	316.69	89.4682	191.862	284.884	147.101	319.685	152.889	214.761	70.1857	0	232.505	227.239	0	325.269	226.42	544.47	551.393	272.763	0	283.59	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	658.726	327.489	838.569	360.282	521.6	578.916	403.315	499.168	503.333	567.828	759.023	539.59	732.161	438.742	358.105	687.847	555.484	378.876	244.786	493.333	418.507	617.042	397.753	498.996	494.453	41.1251	521.335	382.608	481.881	352.123	462.255	272.858	297.674	677.739	341.094	854.597	456.413	473.425	334.958	444.02	701.306	494.946	361.748	264.91	598.772	343.163	487.339	807.24	417.158	379.367	394.215	488.334	1221.26	363.348	621.532	825.308	389.082	155.92	338.436	734.255	322.32	339.595	362.093	561.168	364.791	970.318	747.981	417.594	733.328	626.798	550.769	476.377	523.171	528.248	799.858	912.197	448.804	600.683	1108.49	716.524	455.233	1033.22	300.008	624.53	1145.49	476.937	756.314	566.297	501.706	542.407	351.627	302.816	636.84	397.865	696.261	679.683	454.511	323.721	487.672	335.115	360.202	417.613	656.916	733.704	521.84	521.187	309.105	1167.62	500.951	580.988	17.0496	0	440.026	606.046	403.188	676.839
CALVIN-PWY: Calvin-Benson-Bassham cycle	394.297	378.79	47.4619	329.981	217.627	176.799	362.122	292.327	536.617	809.293	128.147	496.95	320.084	309.981	739.507	146.936	439.432	456.077	378.722	355.601	546.052	943.516	323.662	740.423	608.319	266.325	727.911	376.947	474.261	922.209	412.874	194.426	314.606	179.45	647.745	614.019	313.857	558.323	577.596	394.093	272.8	466.152	446.534	356.476	335.015	406.842	357.889	108.526	449.692	505.868	331.455	718.784	1170.73	554.775	543.788	561.443	326.21	437.348	481.822	613.268	551.604	587.529	337.598	198.12	571.185	21.4557	614.444	443.265	45.537	1171.95	590.662	355.99	472.721	459.792	343.207	27.2512	419.27	326.614	1026	367.931	600.246	988.712	332.825	151.775	945.572	336.803	269.672	309.015	786.802	444.785	596.358	534.162	593.871	480.497	509.775	401.349	387.348	443.013	499.419	332.971	572.044	449.772	407.219	282.241	258.232	387.572	333.791	1129	853.497	289.024	518.594	517.062	509.7	0	353.129	236.378
CARNMET-PWY: L-carnitine degradation I	29.2989	0	0	0	0	0	0	0	57.4476	50.4718	0	36.7855	0	6.34898	45.6464	0	40.9981	37.7999	37.6439	0.718031	12.832	0	6.31135	54.2209	65.0132	0	71.9876	8.03707	0	42.8353	0.736919	0	0	0	53.8473	0	10.0212	49.5672	35.0749	0.59224	0	2.39549	210.844	164.225	0	0	23.4726	0	0	2.41697	0.0903908	23.6418	0	40.2795	0	6.30653	0	0	16.6912	10.724	0	0	1.52425	0	0	0	0	0.948949	0	40.0928	59.4284	0.914419	53.3465	0	0	0	1.6722	0	0	4.86997	0	0	3.09184	0	0	0	0	0	58.2164	0	0	0	0	3.73015	10.5918	0	0	0	0	0	0	18.3154	12.2477	6.6968	0	14.2542	0	0	59.5072	0	0	0	56.8556	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	4.38717	86.8628	0	0	0	0	81.9122	0	0	0	0	2.42796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.2574	0	0	0	0	0	0	0	0	1.12926	0	0	0.849368	37.5571	0	0	0	0	0	0	0	0	0	0	0	0	29.0951	0	0.994908	0	0	106.444	0	180.45	210.668	0	12.4015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.9325	0	0	105.104	196.62	0	0	0	0	0	86.4917	103.966	47.0863	188.105	0	0	0	0	0	300.041	0	21.1071	0	0	0	20.8856	0	117.997	0
CENTFERM-PWY: pyruvate fermentation to butanoate	6.60736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.6016	0	0	22.676	0	0	21.848	0	0	0	0	1.44747	0	0	34.0564	0	0	0	0	0	0	0	0	25.0224	0	66.7233	0	0	0	0	0	0	0	0	57.6324	0	0	0	0	58.2702	32.5609	0	0	33.9724	0	0	36.8282	0	0	0	0	25.2622	0	0	0	0	32.9558	41.2231	28.591	0	15.3878	0	0	0	36.2625	0	30.5973	0	0	36.6649	15.109	0	0	0	0	0	0	32.7775	36.9674	0	68.3112	5.89667	0	0	0	7.5178	22.5232	6.11469	0	19.4347	0	0	0	0	0	0	0	0	0	0
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88277	0	0	0	0	0	0	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	220.907	81.1887	68.7001	61.4494	112.184	39.6947	33.2411	157.255	391.051	360.95	250.102	296.01	258.419	337.523	283.215	148.278	385.816	244.907	231.055	600.537	223.486	630.069	90.3541	452.723	452.18	123.548	464.368	156.709	0	241.942	69.291	0	0	108.483	288.61	0	261.268	329.571	244.48	52.2467	0	70.8442	80.4704	71.5008	0	253.251	180.899	81.6463	264.018	179.204	288.17	271.003	0	262.418	283.549	127.9	61.1724	358.783	131.316	168.464	84.2583	52.6495	202.124	47.4103	457.723	12.9464	0	259.601	23.9507	417.841	437.754	9.09901	330.211	233.192	56.4645	81.6884	354.828	318.661	0	97.9725	67.4836	77.2142	267.501	118.541	633.835	186.318	82.396	103.148	447.154	437.506	84.2254	79.4115	0	323.703	183.378	306.382	166.291	164.315	188.995	10.9296	14.9316	329.949	147.558	97.7216	126.448	140.031	69.541	0	440.912	258.372	0	0	364.162	0	76.7733	174.672
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	344.87	249.348	667.901	293.782	369.033	446.77	334.314	495.233	204.943	202.601	666.673	237.084	578.234	362.291	141.607	624.6	274.586	184.715	126.897	656.491	267.98	714.85	399.489	167.261	174.419	480.423	216.632	269.435	223.052	121.29	386.297	449.96	246.879	555.429	171.376	538.261	391.883	221.183	124.258	344.23	464.948	425.565	267.264	216.186	433.632	186.878	306.259	654.533	318.733	283.118	435.735	267.085	852.138	134.127	389.816	436.23	367.456	458.734	183.425	294.877	193.637	188.583	334.742	442.228	532.114	55.8659	581.04	496.653	734.567	205.313	233.542	403.383	286.143	550.14	304.95	132.129	498.29	501.515	752.701	544.728	547.839	709.435	390.123	558.99	728.139	419.176	502.721	359.869	214.054	455.948	222.371	202.214	0	430.752	374.077	260.767	483.232	197.732	237.641	299.885	229.352	261.562	443.469	505.316	486.205	349.597	187.061	757.581	196.575	218.054	352.934	358.441	241.954	522.632	127.688	594.342
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	321.478	211.351	620.331	286.157	342.72	417.22	312.272	482.587	176.556	180.988	642.534	220.83	542.821	354.951	126.391	602.085	249.189	161.99	108.56	626.293	237.284	839.943	373.642	142.63	149.477	630.985	184.18	278.119	200.354	105.78	361.634	422.783	299.882	565.19	158.208	549.147	394.232	195.176	109.128	327.177	425.297	381.047	257.579	196.786	409.934	173.444	299.1	640.345	356.433	270.492	408.078	239.704	1049.13	120.193	376.626	387.839	348.914	478.31	161.797	256.277	172.283	167.272	324.078	420.282	561.677	45.2242	715.303	470.954	709.287	187.368	203.797	387.383	255.921	524.331	326.899	116.394	477.671	473.032	979.768	527.126	532.577	785.284	364.652	515.291	701.521	400.782	507.125	346.069	184.4	448.784	188.749	183.506	0	407.795	337.505	248.954	455.179	181	232.61	277.961	211.714	233.115	433.996	471.575	456.856	333.085	169.129	927.034	168.731	191.834	334.529	343.133	211.276	519.506	112.696	574.26
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	72.7974	126.293	0	41.8117	0	0	84.0052	0	170.622	332.495	0	168.288	0	119.292	356.59	0	253.657	120.072	169.072	140.836	213.367	43.6668	271.046	195.494	201.344	0	244.21	232.772	0	217.828	222.814	0	0	0	191.742	0	137.953	139.388	332.139	117.22	71.8728	150.936	202.702	224.979	76.0435	188.805	92.2706	0	0	179.788	209.018	247.146	0	308.999	0	99.6921	0	8.37482	146.949	124.494	154.314	176.595	104.3	19.8502	0	0	0	249.342	0	353.176	140.01	197.104	151.061	167.912	0	0	182.657	0	0	144.329	126.943	0	231.904	0	0	109.282	59.5898	63.3773	190.822	0	130.56	174.479	379.881	259.244	256.552	0	219.591	162.216	120.072	81.0594	211.353	85.744	134.237	30.4638	0	187.092	135.177	0	185.591	0	387.019	412.593	147.463	0	165.498	29.6848
